"";"Row";"z.value";"posterior";"local.fdr"
"ENSG00000049768";4935;12,0913592206292;1;0
"ENSG00000125740";4906;-12,0834495633269;1;0
"ENSG00000018625";959;-12,082995722841;1;0
"ENSG00000121211";7699;12,0797528712108;1;0
"ENSG00000101938";2774;-12,0752405794823;1;0
"ENSG00000169245";3329;12,0573260960563;1;0
"ENSG00000153253";10928;-12,0563231762766;1;0
"ENSG00000189056";10338;-12,0484003721934;1;0
"ENSG00000115718";9757;12,0402708758141;1;0
"ENSG00000167964";10058;12,0280774541966;1;0
"ENSG00000135046";607;-12,0250146944944;1;0
"ENSG00000051341";9486;12,0204311403285;1;0
"ENSG00000105996";5872;-12,0197284193835;1;0
"ENSG00000079308";12897;-12,0191942331015;1;0
"ENSG00000184905";12344;-12,0191866617018;1;0
"ENSG00000073282";12945;-12,0160743782065;1;0
"ENSG00000124507";8788;11,9979684692455;1;0
"ENSG00000172061";7100;11,9962800252091;1;0
"ENSG00000198901";9673;11,9956659945148;1;0
"ENSG00000125869";1734;11,9950729289099;1;0
"ENSG00000135119";10579;11,9910149296235;1;0
"ENSG00000188610";4608;11,9905555238565;1;0
"ENSG00000069702";12462;-11,9888525644091;1;0
"ENSG00000135063";4525;-11,9879945327162;1;0
"ENSG00000171243";11785;-11,9865369314325;1;0
"ENSG00000103253";5629;11,9800835611784;1;0
"ENSG00000213186";13056;11,9757575512547;1;0
"ENSG00000175445";7062;-11,9645600244545;1;0
"ENSG00000167779";6096;-11,9592405510613;1;0
"ENSG00000022267";4812;-11,9546331646594;1;0
"ENSG00000151364";6484;-11,9490732703201;1;0
"ENSG00000049249";12863;11,9171433422821;1;0
"ENSG00000154493";1383;-11,9056487771048;1;0
"ENSG00000167588";5369;-11,9033080273975;1;0
"ENSG00000122592";5877;-11,9024971738063;1;0
"ENSG00000166819";9381;-11,8917827309592;1;0
"ENSG00000117586";12871;11,8879320288492;1;0
"ENSG00000149380";8771;11,8722855709084;1;0
"ENSG00000170549";6284;-11,8564652435086;1;0
"ENSG00000164087";9453;11,8440040155323;1;0
"ENSG00000101003";5195;11,8326202245461;1;0
"ENSG00000158373";5768;11,8320626304302;1;0
"ENSG00000144857";1266;-11,831644459194;1;0
"ENSG00000099822";5663;11,8279538183896;1;0
"ENSG00000169241";10144;11,8203001937939;1;0
"ENSG00000120049";6442;-11,8079807628167;1;0
"ENSG00000258947";13239;11,8038774426839;1;0
"ENSG00000165891";3947;11,7703293489172;1;0
"ENSG00000127423";1677;11,7601913757601;1;0
"ENSG00000119927";5353;-11,7568260589122;1;0
"ENSG00000141750";12001;-11,7539363783985;1;0
"ENSG00000174697";6910;-11,7504141806817;1;0
"ENSG00000095637";11775;-11,7442593762902;1;0
"ENSG00000145777";13133;-11,7365056556462;1;0
"ENSG00000160606";12563;11,7264515122093;1;0
"ENSG00000135476";4298;11,7227935164531;1;0
"ENSG00000167100";10844;11,7111222557008;1;0
"ENSG00000198848";2692;-11,7059624990643;1;0
"ENSG00000113368";6994;11,7034856470564;1;0
"ENSG00000078596";6339;-11,6973349402825;1;0
"ENSG00000151725";7651;11,6968713512898;1;0
"ENSG00000133466";1655;11,6895626853831;1;0
"ENSG00000131650";6776;11,6630605697436;1;0
"ENSG00000205221";13583;-11,6544889432227;1;0
"ENSG00000109265";6589;11,6544211860307;1;0
"ENSG00000187699";1830;-11,6519690100936;1;0
"ENSG00000277494";5373;-11,6472355283023;1;0
"ENSG00000154330";9127;-11,6234096754657;1;0
"ENSG00000184384";7282;-11,6130990919999;1;0
"ENSG00000160957";10325;11,6129009037341;1;0
"ENSG00000162407";9547;-11,6042962214644;1;0
"ENSG00000144485";5721;11,5991974630379;1;0
"ENSG00000146006";7160;-11,5635795034568;1;0
"ENSG00000183010";10008;11,560820512476;1;0
"ENSG00000120738";4042;-11,542298725117;1;0
"ENSG00000167641";9612;-11,5421913669236;1;0
"ENSG00000144908";431;-11,5305154132584;1;0
"ENSG00000187260";13728;-11,5275912472562;1;0
"ENSG00000151882";2374;-11,5233982446851;1;0
"ENSG00000131095";5157;-11,5193636469222;1;0
"ENSG00000168309";4416;-11,5178400918214;1;0
"ENSG00000130226";3834;-11,4976160621208;1;0
"ENSG00000138829";4679;11,4864076594432;1;0
"ENSG00000165269";703;-11,4798914739394;1;0
"ENSG00000189159";5835;11,4796194292458;1;0
"ENSG00000105997";5873;-11,4729588786007;1;0
"ENSG00000091651";8702;11,4715329810409;1;0
"ENSG00000156509";4724;11,4666693433568;1;0
"ENSG00000154027";387;-11,4473768186766;1;0
"ENSG00000086717";9561;11,4331319293499;1;0
"ENSG00000129596";2612;-11,4167618106502;1;0
